数据日期,用户名称,运行容量,电能表号,综合倍率,表位数,总,尖,峰,平,谷
2013/8/31,武钢激光拼焊(武汉)有限公司,3200,033178,80,5.1,349.61,0,0,0,0
2013/9/1,武钢激光拼焊(武汉)有限公司,3200,033178,80,5.1,356.01,0,0,0,0
2013/9/2,武钢激光拼焊(武汉)有限公司,3200,033178,80,5.1,883.98,0,0,0,0
2013/9/3,武钢激光拼焊(武汉)有限公司,3200,033178,80,5.1,972.81,0,0,0,0
2013/9/4,武钢激光拼焊(武汉)有限公司,3200,033178,80,5.1,752.02,0,0,0,0
2013/9/5,武钢激光拼焊(武汉)有限公司,3200,033178,80,5.1,496.01,0,0,0,0
2013/9/6,武钢激光拼焊(武汉)有限公司,3200,033178,80,5.1,347.97,0,0,0,0
2013/9/7,武钢激光拼焊(武汉)有限公司,3200,033178,80,5.1,269.61,0,0,0,0
2013/9/8,武钢激光拼焊(武汉)有限公司,3200,033178,80,5.1,302.34,0,0,0,0
2013/9/9,武钢激光拼焊(武汉)有限公司,3200,033178,80,5.1,896.79,0,0,0,0
2013/9/10,武钢激光拼焊(武汉)有限公司,3200,033178,80,5.1,827.97,0,0,0,0
2013/9/11,武钢激光拼焊(武汉)有限公司,3200,033178,80,5.1,752.02,0,0,0,0
2013/9/12,武钢激光拼焊(武汉)有限公司,3200,033178,80,5.1,734.45,0,0,0,0
2013/9/13,武钢激光拼焊(武汉)有限公司,3200,033178,80,5.1,774.37,0,0,0,0
2013/9/14,武钢激光拼焊(武汉)有限公司,3200,033178,80,5.1,329.61,0,0,0,0
2013/9/15,武钢激光拼焊(武汉)有限公司,3200,033178,80,5.1,347.18,0,0,0,0
2013/9/16,武钢激光拼焊(武汉)有限公司,3200,033178,80,5.1,1001.56,0,0,0,0
2013/9/17,武钢激光拼焊(武汉)有限公司,3200,033178,80,5.1,1046.4,0,0,0,0
2013/9/18,武钢激光拼焊(武汉)有限公司,3200,033178,80,5.1,856.79,0,0,0,0
2013/9/19,武钢激光拼焊(武汉)有限公司,3200,033178,80,5.1,772.02,0,0,0,0
2013/9/20,武钢激光拼焊(武汉)有限公司,3200,033178,80,5.1,768.82,0,0,0,0
2013/9/21,武钢激光拼焊(武汉)有限公司,3200,033178,80,5.1,340,0,0,0,0
2013/9/22,武钢激光拼焊(武汉)有限公司,3200,033178,80,5.1,996.71,0,0,0,0
2013/9/23,武钢激光拼焊(武汉)有限公司,3200,033178,80,5.1,996.87,0,0,0,0
2013/9/24,武钢激光拼焊(武汉)有限公司,3200,033178,80,5.1,631.17,0,0,0,0
2013/9/25,武钢激光拼焊(武汉)有限公司,3200,033178,80,5.1,436.79,0,0,0,0
2013/9/26,武钢激光拼焊(武汉)有限公司,3200,033178,80,5.1,346.48,0,0,0,0
2013/9/27,武钢激光拼焊(武汉)有限公司,3200,033178,80,5.1,373.51,0,0,0,0
2013/9/28,武钢激光拼焊(武汉)有限公司,3200,033178,80,5.1,348.82,0,0,0,0
